Loci,Replicate,Final_fitness,Generation
1,81,0.8096961528976764,50000
25,81,16.174470213728593,50000
50,81,40.896856087381344,50000
75,81,38.466288041626555,50000
100,81,34.80607899131711,50000
1,82,0.8096961528976764,50000
25,82,19.67226242007427,50000
50,82,33.09616258081206,50000
75,82,28.919981463224346,50000
100,82,27.690631588973073,50000
1,83,0.8096961528976764,50000
25,83,30.07616012485344,50000
50,83,18.179705607976487,50000
75,83,21.529589162068998,50000
100,83,31.81368656712358,50000
1,84,0.8096961528976764,50000
25,84,11.586683573647715,50000
50,84,24.96435397866053,50000
75,84,42.44533716975448,50000
100,84,45.417961502920456,50000
1,85,0.8096961528976764,50000
25,85,19.10925802727302,50000
50,85,33.442426832769996,50000
75,85,21.807273856280933,50000
100,85,34.384482399104066,50000
1,86,0.8096961528976764,50000
25,86,12.264454401716984,50000
50,86,30.920411125336653,50000
75,86,48.26123654164507,50000
100,86,23.152753547255813,50000
1,87,0.8096961528976764,50000
25,87,7.98469888652682,50000
50,87,31.07949214115294,50000
75,87,23.218367893490303,50000
100,87,57.71586643126692,50000
1,88,0.8096961528976764,50000
25,88,10.834707430010189,50000
50,88,51.944960966049614,50000
75,88,22.52687572279546,50000
100,88,43.0159128217921,50000
1,89,0.8096961528976764,50000
25,89,43.687139163481824,50000
50,89,31.810925625396923,50000
75,89,19.524875057622914,50000
100,89,97.23973231977678,50000
1,90,0.8096961528976764,50000
25,90,31.79287954281192,50000
50,90,25.32015390800938,50000
75,90,41.567792283211425,50000
100,90,23.93612419437615,50000
1,91,0.8096961528976764,50000
25,91,6.916602259474754,50000
50,91,19.902199077140786,50000
75,91,30.374079918328743,50000
100,91,21.093141736956515,50000
1,92,0.8096961528976764,50000
25,92,16.879307689873794,50000
50,92,22.10096654958579,50000
75,92,25.93388247736444,50000
100,92,27.549949137028328,50000
1,93,0.8096961528976764,50000
25,93,23.54207262445206,50000
50,93,16.787010535465008,50000
75,93,33.15123349619257,50000
100,93,23.698886488001037,50000
1,94,0.8096961528976764,50000
25,94,9.176110129312988,50000
50,94,21.30063084209489,50000
75,94,17.068873406356005,50000
100,94,57.9457551880064,50000
1,95,0.8096961528976764,50000
25,95,12.335765316889479,50000
50,95,17.654199951855215,50000
75,95,21.446853531634787,50000
100,95,37.62040008323418,50000
1,96,0.8096961528976764,50000
25,96,10.703834913718017,50000
50,96,15.46937741544926,50000
75,96,71.64623800898329,50000
100,96,36.46498884746064,50000
1,97,0.8096961528976764,50000
25,97,9.65343177059756,50000
50,97,23.08550547214089,50000
75,97,18.82461423776788,50000
100,97,20.867968631370548,50000
1,98,0.8096961528976764,50000
25,98,13.821406515525524,50000
50,98,26.656891382848954,50000
75,98,28.161533955452533,50000
100,98,77.22578740077088,50000
1,99,0.8096961528976764,50000
25,99,10.49026403410462,50000
50,99,24.859933977985197,50000
75,99,20.491655670319677,50000
100,99,33.076036723918165,50000
1,100,0.8096961528976764,50000
25,100,14.51597406020554,50000
50,100,19.718677670358502,50000
75,100,49.40429686993818,50000
100,100,67.78920143559209,50000
1,101,0.8096961528976764,50000
25,101,15.60518133867302,50000
50,101,22.578034040058917,50000
75,101,26.072984240817373,50000
100,101,26.596047208964084,50000
