Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
195,1.2013885208506208,6.0,6.998,5,1844
204,1.1816069839750503,6.0,6.998,5,1844
206,1.2013885208506208,6.0,6.998,5,1844
208,1.1816069839750503,6.0,6.998,5,1844
212,1.2013885208506208,6.0,6.998,5,1844
230,1.1816069839750503,6.0,6.998,5,1844
232,1.2013885208506208,6.0,6.998,5,1844
2245,1.2241124708813542,5.0,6.998,5,1844
2555,1.2766866322007702,6.0,6.998,5,1844
3830,1.2887078423291245,7.0,6.998,5,1844
3842,1.2766866322007702,6.0,6.998,5,1844
3843,1.2887078423291245,7.0,6.998,5,1844
3865,1.2766866322007702,6.0,6.998,5,1844
3867,1.2887078423291245,7.0,6.998,5,1844
3874,1.2766866322007702,6.0,6.998,5,1844
3875,1.2887078423291245,7.0,6.998,5,1844
3878,1.2766866322007702,6.0,6.998,5,1844
3879,1.2887078423291245,7.0,6.998,5,1844
3880,1.2766866322007702,6.0,6.998,5,1844
3909,1.2887078423291245,7.0,6.998,5,1844
0,1.1089880376142223,5.0,6.0,5,1845
97,1.1994778043755037,4.0,6.0,5,1845
878,1.276710985235635,5.0,6.0,5,1845
1420,1.3416477944050755,6.0,6.0,5,1845
0,0.8104640350111767,5.0,5.003,5,1846
17,1.2612868563361084,5.0,5.003,5,1846
30054,1.3258538726949458,6.0,5.003,5,1846
33742,1.3581159946340144,5.0,5.003,5,1846
0,1.0022650847871275,5.0,6.002,5,1847
146,1.1753852341354398,6.0,6.002,5,1847
0,1.0335920163421146,5.0,6.001,5,1848
98,1.2987111182558624,6.0,6.001,5,1848
2526,1.3080240498600424,7.0,6.001,5,1848
2534,1.2987111182558624,6.0,6.001,5,1848
2542,1.3080240498600424,7.0,6.001,5,1848
2543,1.2987111182558624,6.0,6.001,5,1848
2544,1.3080240498600424,7.0,6.001,5,1848
2545,1.2987111182558624,6.0,6.001,5,1848
2558,1.3080240498600424,7.0,6.001,5,1848
2561,1.2987111182558624,6.0,6.001,5,1848
2563,1.3080240498600424,7.0,6.001,5,1848
2590,1.2987111182558624,6.0,6.001,5,1848
2592,1.3080240498600424,7.0,6.001,5,1848
2595,1.2987111182558624,6.0,6.001,5,1848
2599,1.3080240498600424,7.0,6.001,5,1848
2601,1.2987111182558624,6.0,6.001,5,1848
2602,1.3080240498600424,7.0,6.001,5,1848
2605,1.2987111182558624,6.0,6.001,5,1848
2607,1.3080240498600424,7.0,6.001,5,1848
2623,1.2987111182558624,6.0,6.001,5,1848
2626,1.3080240498600424,7.0,6.001,5,1848
34218,1.4077199912262146,6.0,6.001,5,1848
34220,1.3080240498600424,7.0,6.001,5,1848
34222,1.4077199912262146,6.0,6.001,5,1848
0,0.9868426598974409,5.0,7.999,5,1849
86,1.0698513628280975,5.0,7.999,5,1849
121,1.1189454428476968,5.0,7.999,5,1849
1279,1.1692692091044912,6.0,7.999,5,1849
1355,1.2972362989094444,6.0,7.999,5,1849
2403,1.4290240671425312,7.0,7.999,5,1849
3982,1.4659983554386593,8.0,7.999,5,1849
3983,1.4290240671425312,7.0,7.999,5,1849
3984,1.4659983554386593,8.0,7.999,5,1849
0,1.0373696009666564,5.0,6.996,5,1850
63,1.191956410292561,5.0,6.996,5,1850
113,1.3156858992221867,5.0,6.996,5,1850
140,1.4896133351727936,5.0,6.996,5,1850
1068,1.5801366036002398,6.0,6.996,5,1850
1246,1.6358588222068986,7.0,6.996,5,1850
32943,1.630858865732696,7.0,6.996,5,1850
32945,1.6358588222068986,7.0,6.996,5,1850
32952,1.630858865732696,7.0,6.996,5,1850
32963,1.6358588222068986,7.0,6.996,5,1850
42618,1.630858865732696,7.0,6.996,5,1850
42630,1.6358588222068986,7.0,6.996,5,1850
0,1.1440757800166899,5.0,7.0,5,1851
938,1.221979271876177,6.0,7.0,5,1851
1981,1.234691743957378,6.0,7.0,5,1851
1982,1.221979271876177,6.0,7.0,5,1851
2001,1.234691743957378,6.0,7.0,5,1851
4117,1.340574026139899,7.0,7.0,5,1851
4787,1.4262549370266229,7.0,7.0,5,1851
5033,1.685158864507376,8.0,7.0,5,1851
7222,1.7310712677160525,7.0,7.0,5,1851
7223,1.685158864507376,8.0,7.0,5,1851
7226,1.7310712677160525,7.0,7.0,5,1851
0,0.9028199462614972,5.0,6.0,5,1852
55,1.0852783637492318,6.0,6.0,5,1852
118,1.2175490590634592,7.0,6.0,5,1852
3739,1.270654661809281,6.0,6.0,5,1852
0,1.13907233768438,5.0,6.0,5,1853
653,1.357314046299461,6.0,6.0,5,1853
0,0.8932167835817851,5.0,4.001,5,1854
19,1.400943874392421,5.0,4.001,5,1854
102,1.790768029939032,4.0,4.001,5,1854
0,1.11064195887207,5.0,8.0,5,1855
536,1.3420241252480913,6.0,8.0,5,1855
1586,1.4217379663804892,6.0,8.0,5,1855
1647,1.5259593482041691,6.0,8.0,5,1855
2322,1.6095894217172046,7.0,8.0,5,1855
2675,1.6809417263854312,8.0,8.0,5,1855
2676,1.6095894217172046,7.0,8.0,5,1855
2677,1.6809417263854312,8.0,8.0,5,1855
0,0.8879157278647124,5.0,6.003,5,1856
24,1.2103235501772107,5.0,6.003,5,1856
1565,1.2303397571423855,6.0,6.003,5,1856
0,1.0995966475506296,5.0,6.0,5,1857
191,1.165511831169441,6.0,6.0,5,1857
1198,1.2974119735866503,6.0,6.0,5,1857
5537,1.3548130900212032,6.0,6.0,5,1857
0,1.1776224863459708,5.0,6.001,5,1858
125,1.2932901804568828,6.0,6.001,5,1858
0,1.1302044045335664,5.0,4.002,5,1859
136,1.1969356276078684,6.0,4.002,5,1859
219,1.25959970622153,6.0,4.002,5,1859
367,1.3310398320584058,6.0,4.002,5,1859
2312,1.3826744492849674,5.0,4.002,5,1859
2507,1.4339351099694715,4.0,4.002,5,1859
0,1.0869725856281491,5.0,7.0,5,1860
64,1.385964629029201,5.0,7.0,5,1860
115,1.6228819975722708,5.0,7.0,5,1860
1340,1.6505909625175552,6.0,7.0,5,1860
1341,1.6228819975722708,5.0,7.0,5,1860
1344,1.6505909625175552,6.0,7.0,5,1860
2108,1.7030139958225634,7.0,7.0,5,1860
2109,1.6505909625175552,6.0,7.0,5,1860
2116,1.7030139958225634,7.0,7.0,5,1860
0,0.9967179671473652,5.0,5.0,5,1861
107,1.0761103860431485,6.0,5.0,5,1861
287,1.1714636948715786,6.0,5.0,5,1861
1068,1.1884690650663712,5.0,5.0,5,1861
0,0.9917902471595871,5.0,5.0,5,1862
45,1.2584116616294936,5.0,5.0,5,1862
0,1.0029622288027056,5.0,6.0,5,1863
45,1.1716052116859972,5.0,6.0,5,1863
1935,1.2814486405106298,6.0,6.0,5,1863
0,1.080839031376735,5.0,6.0,5,1864
61,1.208937534900372,5.0,6.0,5,1864
127,1.2938268406315274,5.0,6.0,5,1864
141,1.419872141413541,5.0,6.0,5,1864
340,1.459535243244974,5.0,6.0,5,1864
37698,1.5158352372534014,6.0,6.0,5,1864
37699,1.459535243244974,5.0,6.0,5,1864
37701,1.5158352372534014,6.0,6.0,5,1864
0,0.9350950569551119,5.0,4.0,5,1865
70,1.0082854187538308,5.0,4.0,5,1865
82,1.3011404023198907,5.0,4.0,5,1865
629,1.4728818662770014,4.0,4.0,5,1865
0,0.9424766232788572,5.0,6.0,5,1866
80,1.3619634874671103,5.0,6.0,5,1866
1234,1.3952374849402154,6.0,6.0,5,1866
0,1.2358251681012762,5.0,6.0,5,1867
1589,1.2678885245234155,6.0,6.0,5,1867
0,1.2419042244738328,5.0,5.0,5,1868
358,1.2704579534412523,5.0,5.0,5,1868
3413,1.3989002476615093,4.0,5.0,5,1868
3751,1.5668387201172866,5.0,5.0,5,1868
0,0.9205335330192105,5.0,4.0,5,1869
41,1.1698602867557848,5.0,4.0,5,1869
94,1.1921840886817336,5.0,4.0,5,1869
97,1.1698602867557848,5.0,4.0,5,1869
103,1.1921840886817336,5.0,4.0,5,1869
106,1.1698602867557848,5.0,4.0,5,1869
145,1.1921840886817336,5.0,4.0,5,1869
370,1.353393322620557,4.0,4.0,5,1869
0,0.9880749662555653,5.0,6.0,5,1870
27,1.1747301210244512,5.0,6.0,5,1870
41,1.4405571925004585,5.0,6.0,5,1870
24876,1.6947552362060279,6.0,6.0,5,1870
0,0.9503525105958559,5.0,6.0,5,1871
52,1.0975400061566183,6.0,6.0,5,1871
443,1.1904437561608128,5.0,6.0,5,1871
