Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
45,1.153311348738371,5.0,7.001,5,14
1142,1.200839987732578,6.0,7.001,5,14
14989,1.289698341020376,7.0,7.001,5,14
0,0.9639864362593094,5.0,5.0,5,15
30,1.2538711344030693,5.0,5.0,5,15
0,1.0912667778592213,5.0,5.0,5,16
102,1.1549075403394204,5.0,5.0,5,16
126,1.1863169664161377,6.0,5.0,5,16
6434,1.2030622309294212,5.0,5.0,5,16
0,1.136202151493364,5.0,7.0,5,17
125,1.2136611641199322,6.0,7.0,5,17
3954,1.2846003287567287,7.0,7.0,5,17
0,1.090493796528946,5.0,5.0,5,18
452,1.174873092877591,6.0,5.0,5,18
778,1.3150045243432518,5.0,5.0,5,18
0,0.8815084055480819,5.0,4.0,5,19
32,1.1557042426652862,5.0,4.0,5,19
418,1.2579397190091437,4.0,4.0,5,19
0,0.9533919796772952,5.0,5.0,5,20
32,1.2091841698794423,5.0,5.0,5,20
184,1.2850488695155127,5.0,5.0,5,20
0,1.1226921136583432,5.0,5.002,5,21
191,1.1931016895664501,5.0,5.002,5,21
0,1.0179944362000064,5.0,4.999,5,22
49,1.1438328951442864,5.0,4.999,5,22
100,1.1653565420592746,5.0,4.999,5,22
114,1.1438328951442864,5.0,4.999,5,22
115,1.1653565420592746,5.0,4.999,5,22
294,1.1857763144916973,5.0,4.999,5,22
0,1.1313967326967624,5.0,6.003,5,23
131,1.1818654948009222,5.0,6.003,5,23
569,1.225405572265766,6.0,6.003,5,23
0,0.9919844356907042,5.0,7.0,5,24
71,1.0984049244558656,5.0,7.0,5,24
106,1.148262179818848,5.0,7.0,5,24
422,1.187689495171465,6.0,7.0,5,24
423,1.148262179818848,5.0,7.0,5,24
424,1.187689495171465,6.0,7.0,5,24
6229,1.2219889553813206,6.0,7.0,5,24
31390,1.364626298238247,7.0,7.0,5,24
0,0.9890697808421145,5.0,4.001,5,25
55,1.1482934974288688,4.0,4.001,5,25
137,1.171564495156292,4.0,4.001,5,25
138,1.1482934974288688,4.0,4.001,5,25
149,1.171564495156292,4.0,4.001,5,25
966,1.1879378520709927,4.0,4.001,5,25
0,0.8971920825811229,5.0,4.002,5,26
39,1.0899139795578048,5.0,4.002,5,26
86,1.2664132175566627,4.0,4.002,5,26
0,0.9213063474401832,5.0,4.0,5,27
35,1.142519032214622,5.0,4.0,5,27
125,1.2551448012885258,4.0,4.0,5,27
0,0.9666021220675965,5.0,5.003,5,28
40,1.1713588191368467,5.0,5.003,5,28
770,1.2107936544647615,4.0,5.003,5,28
1493,1.2663875837775482,5.0,5.003,5,28
0,1.1254788378044573,5.0,4.999,5,29
6821,1.237245288359088,5.0,4.999,5,29
0,1.035629268057114,5.0,5.0,5,30
111,1.097047060727236,5.0,5.0,5,30
148,1.2524554851131486,5.0,5.0,5,30
