Loci,Replicate,Final_fitness,Final_genome_size
5,53,1.355483897057004,7.0
6,53,1.366431654949109,7.0
7,53,1.312741490511088,7.0
8,53,1.3302315484696996,9.0
9,53,1.3715599962669325,9.0
10,53,1.3647645185749657,11.0
5,54,1.3028794269964588,5.0
6,54,1.2565581089457047,6.0
7,54,1.387020363344723,8.0
8,54,1.6673642354086546,8.998
9,54,1.6673642354086546,8.998
10,54,1.5765177134381947,11.0
5,55,1.2577380549775032,4.0
6,55,1.2000510138475244,3.106
7,55,1.6841663278124228,8.0
8,55,1.3996803526004695,7.0
9,55,1.6114221722472475,10.0
10,55,1.491706605289813,11.0
5,56,1.366803424281891,4.0
6,56,1.4942476209937756,6.998
7,56,1.5531532836728177,7.005
8,56,1.5490465204295634,11.0
9,56,1.4742250779170385,10.0
10,56,1.1987675299286984,9.997
5,57,1.4434034138312817,6.0
6,57,1.2688742495396859,7.0
7,57,1.6288023331265058,7.998
8,57,1.5500904750062743,9.0
9,57,1.3472930922151565,10.0
10,57,1.5074890213774312,9.998
5,58,1.3386633021154692,6.004
6,58,1.5502738268146496,7.0
7,58,1.704874678500848,9.0
8,58,1.5587224225366867,8.0
9,58,1.5209051669861529,9.0
10,58,1.5299338278294232,10.0
5,59,1.2512847750293428,7.008
6,59,1.2528024812613472,7.001
7,59,1.213068319018678,5.005
8,59,1.2151437023327198,9.0
9,59,1.5543213428811646,9.999
10,59,1.2151437023327198,9.009
5,60,1.3483718814368002,5.0
6,60,1.2915773899596716,8.0
7,60,1.418813939484088,8.0
8,60,1.310480130594725,9.0
9,60,1.4260764991200683,10.0
10,60,1.3214332636789548,10.0
5,61,1.318555370219697,6.001
6,61,1.3414088040967183,7.0
7,61,1.3414088040967183,7.0
8,61,1.3841599569315046,8.001
9,61,1.2345124967479648,9.001
10,61,1.3947849300492043,10.0
5,62,1.3923469410592202,6.0
6,62,1.2409798017347948,8.0
7,62,1.3934757279022534,7.998
8,62,1.3041690498979528,9.0
9,62,1.6988393428064843,9.0
10,62,1.6519560463591572,10.998
5,63,1.4614095011820838,6.0
6,63,1.4849214228889625,5.0
7,63,1.571979776854089,8.0
8,63,2.0462317687623437,9.0
9,63,1.4323471964312482,8.0
10,63,1.4303629160194486,9.0
5,64,1.6281543303984976,7.0
6,64,1.6989775230911153,5.0
7,64,1.2750475491199775,7.0
8,64,1.719846014641278,9.0
9,64,1.5999686220848788,10.0
10,64,1.3914562790251022,10.0
5,65,1.4602978436685372,7.0
6,65,1.310173352753987,6.0
7,65,1.4602978436685372,7.0
8,65,1.311339736861444,9.0
9,65,1.3298648390460897,7.988
10,65,1.311339736861444,9.0
5,66,1.545586727053218,3.004
6,66,1.430706202087297,7.999
7,66,1.6284419498467595,7.0
8,66,1.4122450516308975,7.0
9,66,1.417843229172013,10.0
10,66,1.651560047119478,10.999
5,67,1.2245361932991596,6.0
6,67,1.3960522360232817,7.0
7,67,1.5191601032965338,8.0
8,67,1.7639169176663407,8.999
9,67,1.2724887878425657,8.0
10,67,1.3428988142360954,11.999
5,68,1.3239115426201329,5.0
6,68,1.2576497925081256,6.0
7,68,1.373773826418232,5.998
8,68,1.3742883878305987,6.007
9,68,1.8040748389695145,10.0
10,68,1.323891627153693,10.0
5,69,1.261100243859377,5.0
6,69,1.3660497719206275,6.998
7,69,1.4944963962710567,9.001
8,69,1.377116464042217,7.0
9,69,1.8108808647736472,12.002
10,69,1.8280312297562176,12.0
5,70,1.3508611306523983,5.0
6,70,1.7230767073981779,8.0
7,70,1.7066692499996476,7.0
8,70,1.8134314770654798,11.0
9,70,1.8010618971061232,10.0
10,70,1.7187274322318171,11.003
5,71,1.4010165611600927,6.0
6,71,1.4094985585689532,7.0
7,71,1.4308834898706373,9.0
8,71,1.8472863182845727,7.0
9,71,1.5282406310879189,7.0
10,71,1.6234664411829403,10.0
5,72,1.3098568124359833,7.0
6,72,1.73595484883492,7.0
7,72,1.3896558543770101,9.0
8,72,1.290175965524695,9.0
9,72,1.3205661239652302,7.0
10,72,1.466510678649187,12.0
5,73,1.4168786655580494,5.0
6,73,1.2905687933844932,6.001
7,73,1.4168786655580494,5.0
8,73,1.5219120658176257,7.999
9,73,1.3710769412048895,11.002
10,73,1.4065613700734863,10.999
5,74,1.4826203988697424,7.0
6,74,1.5796078621635519,4.0
7,74,1.6315210413905408,8.0
8,74,1.4471951669022067,7.99
9,74,1.528489418198515,9.0
10,74,1.7092649337139416,10.0
5,75,1.341308506818436,6.0
6,75,1.3541193169033237,5.0
7,75,1.3946279562973862,8.0
8,75,1.3946279562973862,8.0
9,75,1.4641441466080876,10.0
10,75,1.4107755338791241,10.0
5,76,1.4116390018354923,7.001
6,76,1.4321780127386647,7.0
7,76,1.2682698321921866,7.002
8,76,1.4696698889345847,8.0
9,76,1.3463869554411163,10.0
10,76,1.7203779919326687,9.0
5,77,1.4741312520461858,6.0
6,77,1.5337011410221284,8.0
7,77,1.630085232439172,9.0
8,77,1.4985692821944543,9.0
9,77,1.6294347305133106,10.0
10,77,1.6294347305133106,10.0
5,78,1.2961918295152248,7.0
6,78,1.3181491211486933,6.998
7,78,1.3181491211486933,7.0
8,78,1.295934723417429,8.0
9,78,1.2536754434637438,9.001
10,78,1.5956473554208892,12.006
5,79,1.508907850690765,6.003
6,79,1.5760481925079266,8.0
7,79,1.5924979042473784,7.0
8,79,1.5035757352634733,9.0
9,79,1.5740528304468626,10.0
10,79,1.440537400826032,11.0
5,80,1.5342892770607717,8.0
6,80,1.779811368196588,10.002
7,80,1.6826950496703983,9.0
8,80,1.7339431472288669,7.0
9,80,1.779034060038519,10.0
10,80,1.9194309632952902,8.0
5,81,1.3577937354062957,5.999
6,81,1.5184206055486107,9.0
7,81,1.6460865724963414,10.003
8,81,1.6940494966273087,6.0
9,81,1.516033351750406,10.0
10,81,1.4635304314802504,10.999
5,82,1.397428927418873,5.0
6,82,1.2528419161817108,6.0
7,82,1.3569249676844575,7.0
8,82,1.757743031644783,9.0
9,82,1.4486494723054737,12.0
10,82,1.838631220033772,11.0
5,83,1.6266958286303856,6.0
6,83,1.3982297431558648,6.998
7,83,1.4547574796617921,8.0
8,83,1.4593004006928774,6.0
9,83,1.4411752716492148,8.0
10,83,1.3451916404406334,10.0
5,84,1.3214949499516666,6.0
6,84,1.6469223579008931,6.001
7,84,1.3771496688574303,7.001
8,84,1.5866163075047206,8.002
9,84,1.6825826974601454,10.001
10,84,1.6021019542249628,11.998
5,85,1.3141235190427287,5.001
6,85,1.5139812199870133,7.0
7,85,1.4787626124241215,7.0
8,85,1.6542843665777236,8.999
9,85,1.6102824696445772,9.004
10,85,1.562566890387254,10.999
5,86,1.7998847098094428,6.999
6,86,1.273934620776281,8.007
7,86,1.4728758067665435,7.0
8,86,1.4728758067665435,7.001
9,86,1.4647079435948223,10.005
10,86,1.4504807935372301,11.0
5,87,1.459535243244974,4.998
6,87,1.420553816799322,6.997
7,87,1.6107558779127995,6.998
8,87,1.5116323365181268,9.0
9,87,1.8401301017598304,10.0
10,87,1.5233530905570614,10.0
5,88,1.244184855292781,8.0
6,88,1.233416166637918,6.0
7,88,1.2475338638339841,7.0
8,88,1.385945263410874,8.0
9,88,1.2898122323126844,8.0
10,88,1.2159272928186053,10.0
5,89,1.4485425764396962,6.002
6,89,1.3485185463263536,7.0
7,89,1.6288023331265058,8.0
8,89,1.4166186132975227,9.0
9,89,1.1810885134362878,9.999
10,89,1.759450873054974,10.003
5,90,1.4500344785758317,7.0
6,90,1.5597128377242873,5.0
7,90,1.5901304012213535,9.0
8,90,1.6536578456545377,7.0
9,90,1.7122235716474277,10.999
10,90,1.482001147582856,10.0
5,91,1.5277378492062577,8.0
6,91,1.4571580978014642,7.0
7,91,1.622365343524494,5.006
8,91,1.438704353472503,8.0
9,91,1.7504913088022993,8.0
10,91,1.3198612637575817,10.001
5,92,1.4102012365608463,5.01
6,92,1.2749276964285647,5.004
7,92,1.2345545371287834,7.0
8,92,1.2345545371287834,7.0
9,92,1.274998559179005,9.0
10,92,1.1564125519808097,8.005
5,93,1.5884899200655573,5.0
6,93,1.6359045056172685,6.0
7,93,1.7306508773037017,8.002
8,93,1.620455043592667,9.0
9,93,1.6531815563283765,9.993
10,93,1.8069757015425718,10.0
5,94,1.3418339772015029,5.0
6,94,1.3418339772015029,5.001
7,94,1.4610557864232032,5.99
8,94,1.3813002596571022,9.999
9,94,1.2973622902112485,10.002
10,94,2.0254445507265135,14.002
5,95,1.3819276019573121,6.0
6,95,1.3819276019573121,6.0
7,95,1.6717905761030052,7.0
8,95,1.2210261398594418,8.0
9,95,1.8683077290436327,11.0
10,95,1.3964190190989298,11.0
5,96,1.421891865907606,4.005
6,96,1.7428984791751336,8.0
7,96,1.6233118667138138,9.0
8,96,1.4551823408820268,6.0
9,96,1.5946375613898698,9.0
10,96,1.6560925855171444,11.0
5,97,1.2294115151549223,6.001
6,97,1.2772470332566708,6.001
7,97,1.3097745885721854,6.0
8,97,1.595072189884672,8.999
9,97,1.6600777117077488,8.001
10,97,1.8253400204643018,10.001
5,98,1.2820920674887542,6.0
